1541054751500, Procedure Started
1541054752527, Add: (1082.548321648367, 535.3756725990015), (41.10954559391704, 18.303148938411006), 0xffffffff
1541054752622, Stimulus Disappear: (1079.7917656608906, 534.6011715981344), (40.91313332052388, 18.21570056014971)
1541054752718, Stimulus Appear: (1075.72620150717, 533.4518618249608), (40.621306299332495, 18.08577079916716)
1541054752829, Stimulus Disappear: (1071.0335062199686, 532.1148108334461), (40.28126437898775, 17.93437438202228)
1541054752926, Stimulus Appear: (1067.0022320398439, 530.9572188306043), (39.986392206270885, 17.80308883222948)
1541054753022, Stimulus Disappear: (1063.0535577099754, 529.8152454343904), (39.69507271033375, 17.673385036048643)
1541054753118, Stimulus Appear: (1059.1312814015785, 528.6729330568828), (39.40324568914236, 17.543455275066094)
1541054753229, Stimulus Disappear: (1054.6021679696787, 527.3439543617635), (39.063203768797614, 17.392058857921214)
1541054753326, Stimulus Appear: (1050.7165422374765, 526.195271077646), (38.768839121335, 17.26099927293012)
1541054753423, Stimulus Disappear: (1048.1682326679097, 525.4376394624915), (38.574456948958826, 17.17445475387566)
1541054753517, Stimulus Appear: (1043.1127045583544, 523.9244929429261), (38.18569260420647, 17.001365715766738)
1541054753629, Stimulus Disappear: (1038.7348178355994, 522.6032744799663), (37.84565068386173, 16.849969298621854)
1541054753726, Stimulus Appear: (1034.9710378906698, 521.45927264641), (37.55077851114486, 16.718683748829054)
1541054753822, Stimulus Disappear: (1031.281737036772, 520.330599356474), (37.259459015207725, 16.588979952648216)
1541054753917, Stimulus Appear: (1027.6145110540747, 519.2014849956965), (36.96763199401634, 16.45905019166567)
1541054754030, Stimulus Disappear: (1023.3515065873669, 517.8798903226067), (36.62555997265461, 16.306749915313954)
1541054754125, Stimulus Appear: (1022.7536856547181, 517.6937778273926), (36.57734507350125, 16.28528325915162)
1541054754222, Stimulus Disappear: (1016.1767829903245, 515.6335812719028), (36.04292098078032, 16.047342322952275)
1541054754319, Stimulus Appear: (1012.5737688993079, 514.4950606776569), (35.74703375755497, 15.915604843556059)
1541054754430, Stimulus Disappear: (1008.4782230959074, 513.1923796955966), (35.40800688771872, 15.764660356014595)
1541054754525, Stimulus Appear: (1004.9864314526835, 512.074557663214), (35.11668739178158, 15.634956559833757)
1541054754623, Stimulus Disappear: (1001.4773942366648, 510.94454507399064), (34.82181521906472, 15.503671010040957)
1541054754718, Stimulus Appear: (998.0352197373622, 509.82955689606047), (34.53049572312758, 15.37396721386012)
1541054754829, Stimulus Disappear: (994.041750613653, 508.5279049588445), (34.189946277528584, 15.222344831913528)
1541054754925, Stimulus Appear: (990.6510953874913, 507.4159077930858), (33.898626781591446, 15.09264103573269)
1541054755022, Stimulus Disappear: (987.2659889335233, 506.2994663431825), (33.605784709891566, 14.962259345146725)
1541054755118, Stimulus Appear: (983.8921853704918, 505.1805192005514), (33.31192758768319, 14.831425724957343)
1541054755230, Stimulus Disappear: (980.0163933037522, 503.88739685026644), (32.97188566733845, 14.680029307812461)
1541054755325, Stimulus Appear: (976.7138821919818, 502.77905500372276), (32.68005864614706, 14.550099546829914)
1541054755422, Stimulus Disappear: (973.4271944297802, 501.6700929402326), (32.38772409970143, 14.41994382104566)
1541054755518, Stimulus Appear: (970.1447595718139, 500.5566598823711), (32.093866977493064, 14.289110200856276)
1541054755630, Stimulus Disappear: (966.372678739618, 499.2698459014674), (31.753825057148315, 14.137713783711394)
1541054755725, Stimulus Appear: (963.1630557759618, 498.1687734976611), (31.462505561211174, 14.008009987530556)
1541054755822, Stimulus Disappear: (959.9345650985963, 497.05553912729937), (31.167633388494316, 13.876724437737757)
1541054755918, Stimulus Appear: (956.6930813779932, 495.93208751321174), (30.869716064251975, 13.744083099134704)
1541054756029, Stimulus Disappear: (953.0888564770946, 494.6761711843562), (30.536271972212425, 13.595624224412036)
1541054756125, Stimulus Appear: (949.9547282009928, 493.578296918507), (30.244444951021038, 13.46569446342949)
1541054756223, Stimulus Disappear: (946.8013440744494, 492.4682706479803), (29.94906525304993, 13.33418294883498)
1541054756318, Stimulus Appear: (943.714972170659, 491.37658907458683), (29.65825328236704, 13.204705117455852)
1541054756429, Stimulus Disappear: (940.1286643175494, 490.10156930440286), (29.318211362022293, 13.05330870031097)
1541054756525, Stimulus Appear: (937.0698799730837, 489.0085816036725), (29.02638434083091, 12.923378939328423)
1541054756623, Stimulus Disappear: (933.9914149539095, 487.9034456328517), (28.731004642859798, 12.791867424733915)
1541054756718, Stimulus Appear: (930.9827528157887, 486.8184200863037), (28.44070019743115, 12.662615558156492)
1541054756829, Stimulus Disappear: (927.4743294472019, 485.5470018893791), (28.10015075183216, 12.510993176209904)
1541054756926, Stimulus Appear: (924.4907197316751, 484.46056543956956), (27.808831255895015, 12.381289380029065)
1541054757023, Stimulus Disappear: (921.4818203836389, 483.36008888875034), (27.513451557923908, 12.249777865434556)
1541054757118, Stimulus Appear: (918.5351960761807, 482.27770108746824), (27.222639587241012, 12.120300034055425)
1541054757229, Stimulus Disappear: (915.1041014650809, 481.01152675025634), (26.882090141642024, 11.968677652108838)
1541054757326, Stimulus Appear: (912.1549526953314, 479.9182138142592), (26.58772549417941, 11.837618067117745)
1541054757423, Stimulus Disappear: (909.2360693069791, 478.8315956954566), (26.29488342247953, 11.70723637653178)
1541054757518, Stimulus Appear: (906.3569958011519, 477.7554047506027), (26.004578977050883, 11.577984509954359)
1541054757629, Stimulus Disappear: (903.0026908566969, 476.4960949527662), (25.664537056706134, 11.426588092809478)
1541054757726, Stimulus Appear: (900.1143837557308, 475.4070325326817), (25.37017240924352, 11.295528507818387)
1541054757823, Stimulus Disappear: (897.2549470702106, 474.32459021419083), (25.077330337543643, 11.165146817232422)
1541054757917, Stimulus Appear: (894.4288376444199, 473.25061367675966), (24.786518366860747, 11.035668985853293)
1541054758029, Stimulus Disappear: (891.1459510984176, 471.99790035152824), (24.446983971770244, 10.88449853351012)
1541054758126, Stimulus Appear: (888.3092202163223, 470.91099991681165), (24.152111799053383, 10.75321298371732)
1541054758239, Stimulus Disappear: (885.5049482106942, 469.8325182784775), (23.859269727353507, 10.622831293131355)
1541054758317, Stimulus Appear: (882.7374633476104, 468.76429055218694), (23.568965281924857, 10.493579426553936)
1541054758430, Stimulus Disappear: (879.5113365748299, 467.5141786606471), (23.22892336158011, 10.342183009409053)
1541054758526, Stimulus Appear: (876.7318212657462, 466.4329660560075), (22.934558714117497, 10.211123424417963)
1541054758640, Stimulus Disappear: (873.9881709726048, 465.3619534210967), (22.64273169292611, 10.081193663435416)
1541054758717, Stimulus Appear: (871.2608958066675, 464.29366442984485), (22.351412196988967, 9.951489867254576)
